zdjecie,product_id,old_name,new_name,collection,old_sku,old_sku_variants,old_regular_price,old_live_price,new_regular_price,new_live_price,lowest_price_30d,discount_pct,category,gender,shape,polarized,frame_colors,stock_status,total_sales,image_live_url,new_url
"=IMAGE(""https://goya-eight.vercel.app/products/2607_1.jpg"")",245340,G CP3717,Bronce,City,,G CP3717 R; G CP3717 BR; G CP3717 CZ,159,111.3,449,449,,0,Przeciwsłoneczne,Damskie,Prostokątne,tak,Złoty,instock,9,https://goya-eight.vercel.app/products/2607_1.jpg,https://goya-eight.vercel.app/okulary/goya-g-cp3717-r-okulary-przeciwsloneczne-polaryzacyjne
"=IMAGE(""https://goya-eight.vercel.app/products/680_4.jpg"")",244389,G 95541,Bruma,City,,Goya G 95541 C1; Goya G 95541 C2,179,125.3,499,499,,0,Korekcyjne,Męskie,Prostokątne,nie,"Czarny, Srebrny, Złoty",instock,1,https://goya-eight.vercel.app/products/680_4.jpg,https://goya-eight.vercel.app/okulary/goya-okulary-korekcyjne-g-95541-c1
"=IMAGE(""https://goya-eight.vercel.app/products/575_6.jpg"")",244057,LB 8936 C5,Brío,City,Goya LB 8936 C5,,129.0,90.3,399,399,,0,Korekcyjne,Męskie,Prostokątne,nie,"Czarny, Zielony",instock,0,https://goya-eight.vercel.app/products/575_6.jpg,https://goya-eight.vercel.app/okulary/goya-okulary-korekcyjne-lb-8936-c5
"=IMAGE(""https://goya-eight.vercel.app/products/588_4.jpg"")",243883,G 2622 C3,Buganvilla,City,Goya G 2622 C3,,109.0,76.3,349,349,,0,Korekcyjne,Damskie,Prostokątne,nie,"Biały, Czerwony",instock,2,https://goya-eight.vercel.app/products/588_4.jpg,https://goya-eight.vercel.app/okulary/goya-okulary-korekcyjne-g-2622-c3
"=IMAGE(""https://goya-eight.vercel.app/products/644_4.jpg"")",244068,GM 7080,Cabo,City,,Goya GM 7080 C5; Goya GM 7080 C3,119,83.3,399,399,,0,Korekcyjne,Męskie,Prostokątne,nie,"Brązowy, Granatowy",instock,0,https://goya-eight.vercel.app/products/644_4.jpg,https://goya-eight.vercel.app/okulary/goya-okulary-korekcyjne-gm-7080-c5
"=IMAGE(""https://goya-eight.vercel.app/products/688_4.jpg"")",244419,G 95551,Cadaqués,Coast,,Goya G 95551 C2; Goya G 95551 C1,179,125.3,499,499,,0,Korekcyjne,Unisex,Aviator,nie,"Brązowy, Czarny, Złoty",instock,2,https://goya-eight.vercel.app/products/688_4.jpg,https://goya-eight.vercel.app/okulary/goya-okulary-korekcyjne-g-95551-c2
"=IMAGE(""https://goya-eight.vercel.app/products/G_55015_GR_A.jpg"")",334596,G 55015 GR,Cala,City,G 55015 GR - C2,,179.0,125.3,499,499,,0,Przeciwsłoneczne,Męskie,Nerdy,tak,"Grafitowy, Szary",instock,0,https://goya-eight.vercel.app/products/G_55015_GR_A.jpg,https://goya-eight.vercel.app/okulary/goya-okulary-przeciwsloneczne-z-filtrem-polaryzacyjnym-g-55015-gr
"=IMAGE(""https://goya-eight.vercel.app/products/652_4.jpg"")",244104,MA 3021 C3,Calma,Coast,Goya MA 3021 C3,,119.0,83.3,399,399,,0,Korekcyjne,Damskie,Kocie,nie,"Czerwony, Fioletowy, Zielony, Złoty",instock,4,https://goya-eight.vercel.app/products/652_4.jpg,https://goya-eight.vercel.app/okulary/goya-okulary-korekcyjne-ma-3021-c3
"=IMAGE(""https://goya-eight.vercel.app/products/575_6.jpg"")",244254,okulary korekcyjne TJ 032 C3,Calpe,City,Goya TJ 032 C3,,129.0,90.3,399,399,,0,Korekcyjne,Unisex,Prostokątne,nie,"Czarny, Niebieski",instock,0,https://goya-eight.vercel.app/products/575_6.jpg,https://goya-eight.vercel.app/okulary/goya-okulary-korekcyjne-tj-032-c3
"=IMAGE(""https://goya-eight.vercel.app/products/577_4.jpg"")",243848,G 942117,Camelia,Coast,,Goya G 942117 C1; Goya G 942117 C4,159,111.3,449,449,,0,Korekcyjne,Damskie,Aviator,nie,"Czarny, Złoty",instock,1,https://goya-eight.vercel.app/products/577_4.jpg,https://goya-eight.vercel.app/okulary/goya-okulary-korekcyjne-g-942117-c1
"=IMAGE(""https://goya-eight.vercel.app/products/2642_1.jpg"")",245396,G 6232,Canela,Coast,,G 6232 CZ; G 6232 N; G 6232 GR,159,111.3,449,449,,0,Przeciwsłoneczne,Damskie,Muchy,tak,"Czarny, Niebieski, Szary",instock,14,https://goya-eight.vercel.app/products/2642_1.jpg,https://goya-eight.vercel.app/okulary/goya-g-6232-cz-okulary-przeciwsloneczne-polaryzacyjne
"=IMAGE(""https://goya-eight.vercel.app/products/3129_1.jpg"")",245548,G 191 BR,Carmín,Coast,GOYA G 191 BR,,149.0,104.3,449,449,,0,Przeciwsłoneczne,Damskie,Muchy,tak,Brązowy,instock,5,https://goya-eight.vercel.app/products/3129_1.jpg,https://goya-eight.vercel.app/okulary/goya-g-191-br-okulary-przeciwsloneczne-z-filtrem-polaryzacyjnym
"=IMAGE(""https://goya-eight.vercel.app/products/684_1.jpg"")",244404,G 96302,Cedro,City,,Goya G 96302 C4; Goya G 96302 C3,189,132.3,499,499,,0,Korekcyjne,Męskie,Prostokątne,nie,"Czarny, Srebrny",instock,2,https://goya-eight.vercel.app/products/684_1.jpg,https://goya-eight.vercel.app/okulary/goya-okulary-korekcyjne-g-96302-c4
"=IMAGE(""https://goya-eight.vercel.app/products/650_4.jpg"")",244098,M 8209,Celeste,Coast,,Goya M 8209 C4; Goya M 8209 C2,129,90.3,399,399,,0,Korekcyjne,Damskie,Kocie,nie,"Brązowy, Granatowy, Srebrny, Złoty",instock,2,https://goya-eight.vercel.app/products/650_4.jpg,https://goya-eight.vercel.app/okulary/goya-okulary-korekcyjne-m-8209-c4
"=IMAGE(""https://goya-eight.vercel.app/products/670_4.jpg"")",244315,G 93304,Chispa,Weekend,,Goya G 93304 C2; Goya G 93304 C1,119,83.3,399,399,,0,Korekcyjne,Dziecięce,Okrągłe,nie,"Biały, Czarny, Czerwony, Transparentny, Zielony",instock,0,https://goya-eight.vercel.app/products/670_4.jpg,https://goya-eight.vercel.app/okulary/goya-okulary-korekcyjne-g-93304-c2
"=IMAGE(""https://goya-eight.vercel.app/products/609_1.jpg"")",243936,okulary korekcyjne G 2694 C2,Cielo,Weekend,Goya G 2694 C2,,109.0,76.3,349,349,,0,Korekcyjne,Damskie,Okrągłe,nie,"Brązowy, Czarny, Żółty",outofstock,0,https://goya-eight.vercel.app/products/609_1.jpg,https://goya-eight.vercel.app/okulary/goya-okulary-korekcyjne-g-2694-c2
"=IMAGE(""https://goya-eight.vercel.app/products/G_55051_GR_A.jpg"")",337436,G 55051 GR,Claro,Coast,G 55051 GR - C2,,179.0,125.3,499,499,,0,Przeciwsłoneczne,Damskie,Aviator,tak,"Grafitowy, Szary",instock,1,https://goya-eight.vercel.app/products/G_55051_GR_A.jpg,https://goya-eight.vercel.app/okulary/goya-okulary-przeciwsloneczne-z-filtrem-polaryzacyjnym-g-55051-gr
"=IMAGE(""https://goya-eight.vercel.app/products/2638_1.jpg"")",245367,G 6230 R,Cobre,Weekend,G 6230 R,,159.0,111.3,449,449,,0,Przeciwsłoneczne,Damskie,Okrągłe,tak,"Różowy, Transparentny",instock,1,https://goya-eight.vercel.app/products/2638_1.jpg,https://goya-eight.vercel.app/okulary/goya-g-6230-r-okulary-przeciwsloneczne-polaryzacyjne
"=IMAGE(""https://goya-eight.vercel.app/products/611_4.jpg"")",243946,G 2682,Cometa,Coast,,Goya G 2682 C4; Goya G 2682 C2,109,76.3,349,349,,0,Korekcyjne,Damskie,Kocie,nie,"Czarny, Granatowy",instock,0,https://goya-eight.vercel.app/products/611_4.jpg,https://goya-eight.vercel.app/okulary/goya-okulary-korekcyjne-g-2682-c4
"=IMAGE(""https://goya-eight.vercel.app/products/675_4.jpg"")",244356,G 94319 C2,Comillas,City,Goya G 94319 C2,,159.0,111.3,449,449,,0,Korekcyjne,Unisex,Prostokątne,nie,"Brązowy, Granatowy",instock,0,https://goya-eight.vercel.app/products/675_4.jpg,https://goya-eight.vercel.app/okulary/goya-okulary-korekcyjne-g-94319-c2
"=IMAGE(""https://goya-eight.vercel.app/products/3189_1.jpg"")",253086,G 149,Conil,City,,Goya G 149 BR A; Goya G 149 ZOL B,149,104.3,449,449,,0,Przeciwsłoneczne,Unisex,Owalne,tak,"Brązowy, Czarny, Żółty",instock,3,https://goya-eight.vercel.app/products/3189_1.jpg,https://goya-eight.vercel.app/okulary/goya-okulary-przeciwsloneczne-z-filtrem-polaryzacyjnym-g-149
"=IMAGE(""https://goya-eight.vercel.app/products/G_55021_CZ_A.jpg"")",337384,G 55021 CZ,Coral,City,G 55021 CZ - C1,,179.0,125.3,499,499,,0,Przeciwsłoneczne,Męskie,Owalne,tak,Czarny,instock,3,https://goya-eight.vercel.app/products/G_55021_CZ_A.jpg,https://goya-eight.vercel.app/okulary/goya-okulary-przeciwsloneczne-z-filtrem-polaryzacyjnym-g-55021-cz
"=IMAGE(""https://goya-eight.vercel.app/products/3154_6.jpg"")",245772,G 177 CZ,Corsario,Drive,GOYA G 177 CZ,,129.0,90.3,399,399,,0,Przeciwsłoneczne,Męskie,Sportowe,tak,Czarny,instock,14,https://goya-eight.vercel.app/products/3154_6.jpg,https://goya-eight.vercel.app/okulary/goya-g-177-cz-okulary-przeciwsloneczne-z-filtrem-polaryzacyjnym
"=IMAGE(""https://goya-eight.vercel.app/products/G_55015_BR_A.jpg"")",334580,G 55015 BR,Costa,City,G 55015 BR - C3,,179.0,125.3,499,499,,0,Przeciwsłoneczne,Męskie,Nerdy,tak,Brązowy,instock,4,https://goya-eight.vercel.app/products/G_55015_BR_A.jpg,https://goya-eight.vercel.app/okulary/goya-okulary-przeciwsloneczne-z-filtrem-polaryzacyjnym-g-55015-br
"=IMAGE(""https://goya-eight.vercel.app/products/674_4.jpg"")",244347,G 94402,Cuarzo,Coast,,Goya G 94402 C1; Goya G 94402 C2,199,139.3,499,499,,0,Korekcyjne,Damskie,Aviator,nie,"Biały, Czarny, Złoty",instock,1,https://goya-eight.vercel.app/products/674_4.jpg,https://goya-eight.vercel.app/okulary/goya-okulary-korekcyjne-g-94402-c1
"=IMAGE(""https://goya-eight.vercel.app/products/967_1.jpg"")",244579,G1904,Cádiz,Coast,,GOYA G1904 C2; Goya G1904 C5,109,76.3,349,349,,0,Przeciwsłoneczne,Unisex,Aviator,tak,Czarny,instock,8,https://goya-eight.vercel.app/products/967_1.jpg,https://goya-eight.vercel.app/okulary/goya-g1904-c2-okulary-przeciwsloneczne-z-filtrem-polaryzacyjnym-kopia
"=IMAGE(""https://goya-eight.vercel.app/products/3160_6.jpg"")",245833,G 172,Céfiro,City,,Goya G 172 BR; Goya G 172 ZX; Goya G 172 CZ,149,104.3,449,449,,0,Przeciwsłoneczne,Damskie,Prostokątne,tak,"Brązowy, Czarny, Wielokolorowy",instock,37,https://goya-eight.vercel.app/products/3160_6.jpg,https://goya-eight.vercel.app/okulary/goya-g-172-br-okulary-przeciwsloneczne-z-filtrem-polaryzacyjnym
"=IMAGE(""https://goya-eight.vercel.app/products/181_1.jpg"")",243658,G 0901S,Dalia,Coast,,Goya G 0901S P; Goya G 0901S N,109,76.3,349,349,,0,Przeciwsłoneczne,Damskie,Aviator,tak,Złoty,instock,15,https://goya-eight.vercel.app/products/181_1.jpg,https://goya-eight.vercel.app/okulary/goya-g-0901s-p-okulary-przeciwsloneczne-z-filtrem-polaryzacyjnym-pilotki-lustrzanki
"=IMAGE(""https://goya-eight.vercel.app/products/584_4.jpg"")",243871,G 2615 C1,Denia,City,Goya G 2615 C1,,129.0,90.3,399,399,,0,Korekcyjne,Unisex,Prostokątne,nie,"Brązowy, Czarny, Zielony",instock,0,https://goya-eight.vercel.app/products/584_4.jpg,https://goya-eight.vercel.app/okulary/goya-okulary-korekcyjne-g-2615-c1
"=IMAGE(""https://goya-eight.vercel.app/products/1615_2.jpg"")",239041,G 55T001,Deriva,City,,G 55T001 CZ; G 55T001 GR; G 55T001 BR,119,83.3,399,399,,0,Przeciwsłoneczne,Męskie,Nerdy,tak,"Brązowy, Czarny, Grafitowy",instock,41,https://goya-eight.vercel.app/products/1615_2.jpg,https://goya-eight.vercel.app/okulary/okulary-przeciwsloneczne-polaryzacyjne-dla-kierowcow-goya-g-55t001-cz
"=IMAGE(""https://goya-eight.vercel.app/products/G_55054_CZ_A.jpg"")",337482,G 55054 CZ,Destello,Coast,G 55054 CZ - C1,,179.0,125.3,499,499,,0,Przeciwsłoneczne,Damskie,Aviator,tak,Czarny,instock,10,https://goya-eight.vercel.app/products/G_55054_CZ_A.jpg,https://goya-eight.vercel.app/okulary/goya-okulary-przeciwsloneczne-z-filtrem-polaryzacyjnym-g-55054-cz
"=IMAGE(""https://goya-eight.vercel.app/products/618_4.jpg"")",243968,G 2717 C4,Diva,City,Goya G 2717 C4,,109.0,76.3,349,349,,0,Korekcyjne,Damskie,Prostokątne,nie,Czerwony,instock,1,https://goya-eight.vercel.app/products/618_4.jpg,https://goya-eight.vercel.app/okulary/goya-okulary-korekcyjne-g-2717-c4
"=IMAGE(""https://goya-eight.vercel.app/products/694_4.jpg"")",244429,G 93305,Duende,Weekend,,Goya G 93305 C2; Goya G 93305 C3,119,83.3,399,399,,0,Korekcyjne,Dziecięce,Prostokątne,nie,"Granatowy, Różowy",instock,0,https://goya-eight.vercel.app/products/694_4.jpg,https://goya-eight.vercel.app/okulary/goya-okulary-korekcyjne-g-93305-c2
"=IMAGE(""https://goya-eight.vercel.app/products/3168_1.jpg"")",245901,G 166 GR,Duero,City,GOYA G 166 GR,,149.0,104.3,449,449,,0,Przeciwsłoneczne,Męskie,Owalne,tak,Grafitowy,outofstock,7,https://goya-eight.vercel.app/products/3168_1.jpg,https://goya-eight.vercel.app/okulary/goya-g-166-gr-okulary-przeciwsloneczne-z-filtrem-polaryzacyjnym
"=IMAGE(""https://goya-eight.vercel.app/products/643_4.jpg"")",244063,LA 9910 C4,Dulce,City,Goya LA 9910 C4,,129.0,90.3,399,399,,0,Korekcyjne,Damskie,Prostokątne,nie,"Czarny, Czerwony, Fioletowy, Złoty",instock,0,https://goya-eight.vercel.app/products/643_4.jpg,https://goya-eight.vercel.app/okulary/goya-okulary-korekcyjne-la-9910-c4
"=IMAGE(""https://goya-eight.vercel.app/products/G-201-CZ-A.jpg"")",253763,G 201 CZ,Duna,Drive,G 201 CZ,,149.0,104.3,449,449,,0,Przeciwsłoneczne,Męskie,Sportowe,tak,Czarny,instock,7,https://goya-eight.vercel.app/products/G-201-CZ-A.jpg,https://goya-eight.vercel.app/okulary/goya-okulary-przeciwsloneczne-z-filtrem-polaryzacyjnym-g-201-cz
"=IMAGE(""https://goya-eight.vercel.app/products/3184_1.jpg"")",253125,G 153,Ebro,Weekend,,GOYA G 153 S A; GOYA G 153 GR B,129,90.3,399,399,,0,Przeciwsłoneczne,Męskie,Pozostałe,tak,"Czarny, Srebrny",instock,1,https://goya-eight.vercel.app/products/3184_1.jpg,https://goya-eight.vercel.app/okulary/goya-okulary-przeciwsloneczne-z-filtrem-polaryzacyjnym-g-153
"=IMAGE(""https://goya-eight.vercel.app/products/575_4.jpg"")",243836,G 1014 C8,Errante,City,Goya G 1014 C8,,129.0,90.3,399,399,,0,Korekcyjne,Męskie,Prostokątne,nie,"Czarny, Niebieski",instock,5,https://goya-eight.vercel.app/products/575_4.jpg,https://goya-eight.vercel.app/okulary/goya-okulary-korekcyjne-g-1014-c8
"=IMAGE(""https://goya-eight.vercel.app/products/665_4.jpg"")",244290,G 93205,Esmeralda,Coast,,Goya G 93205 C1; Goya G 93205 C4; Goya G 93205 C2,159,111.3,449,449,,0,Korekcyjne,Damskie,Kocie,nie,"Brązowy, Czarny, Fioletowy",instock,1,https://goya-eight.vercel.app/products/665_4.jpg,https://goya-eight.vercel.app/okulary/goya-okulary-korekcyjne-g-93205-c1
"=IMAGE(""https://goya-eight.vercel.app/products/GOYA-2619-C4-prof.jpg"")",243886,okulary korekcyjne G 2619 C4,Espliego,City,Goya G 2619 C4,,119.0,83.3,399,399,,0,Korekcyjne,Damskie,Prostokątne,nie,"Czarny, Szary",instock,0,https://goya-eight.vercel.app/products/GOYA-2619-C4-prof.jpg,https://goya-eight.vercel.app/okulary/goya-okulary-korekcyjne-g-2619-c4
"=IMAGE(""https://goya-eight.vercel.app/products/575_6.jpg"")",243929,okulary korekcyjne G 2714 C4,Estrella,City,Goya G 2714 C4,,109.0,76.3,349,349,,0,Korekcyjne,Damskie,Prostokątne,nie,Granatowy,instock,0,https://goya-eight.vercel.app/products/575_6.jpg,https://goya-eight.vercel.app/okulary/goya-okulary-korekcyjne-g-2714-c4
"=IMAGE(""https://goya-eight.vercel.app/products/G_55012_GR_A.jpg"")",334688,G 55012 GR,Faro,City,G 55012 GR - C2,,179.0,125.3,499,499,,0,Przeciwsłoneczne,Męskie,Nerdy,tak,"Grafitowy, Szary",instock,2,https://goya-eight.vercel.app/products/G_55012_GR_A.jpg,https://goya-eight.vercel.app/okulary/goya-okulary-przeciwsloneczne-z-filtrem-polaryzacyjnym-g-55012-gr
"=IMAGE(""https://goya-eight.vercel.app/products/GOYA-CP806639-BR-A.jpg"")",256054,CP 806639,Feria,Coast,,GOYA CP 806639 BR; GOYA CP 806639 ZL; GOYA CP 806639 CZ,179,125.3,499,499,,0,Przeciwsłoneczne,Unisex,Aviator,tak,"Brązowy, Czarny, Złoty",instock,6,https://goya-eight.vercel.app/products/GOYA-CP806639-BR-A.jpg,https://goya-eight.vercel.app/okulary/goya-okulary-przeciwsloneczne-z-filtrem-polaryzacyjnym-goya-cp-806639
