id,old_name,new_name,collection,shape,gender,category,slug
245113,G 55016,Risco,Coast,Aviator,Męskie,Przeciwsłoneczne,goya-g-55016-br-okulary-przeciwsloneczne-z-filtrem-polaryzacyjnym
245155,G 55017,Monte,Coast,Aviator,Męskie,Przeciwsłoneczne,goya-g-55017-br-okulary-przeciwsloneczne-z-filtrem-polaryzacyjnym
245199,G 55032,Sierra,Coast,Aviator,Męskie,Przeciwsłoneczne,goya-g-55032-br-okulary-przeciwsloneczne-z-filtrem-polaryzacyjnym
245226,G 55042,Halcón,City,Kwadratowe,Męskie,Przeciwsłoneczne,goya-g-55042-br-okulary-przeciwsloneczne-z-filtrem-polaryzacyjnym
245250,G 9496,Lince,City,Nerdy,Męskie,Przeciwsłoneczne,goya-g-g-9496-br-okulary-przeciwsloneczne-z-filtrem-polaryzacyjnym
245316,G CP3718,Ébano,City,Prostokątne,Damskie,Przeciwsłoneczne,goya-g-cp3718-r-okulary-przeciwsloneczne-polaryzacyjne
245340,G CP3717,Bronce,City,Prostokątne,Damskie,Przeciwsłoneczne,goya-g-cp3717-r-okulary-przeciwsloneczne-polaryzacyjne
245367,G 6230 R,Cobre,Weekend,Okrągłe,Damskie,Przeciwsłoneczne,goya-g-6230-r-okulary-przeciwsloneczne-polaryzacyjne
245396,G 6232,Canela,Coast,Muchy,Damskie,Przeciwsłoneczne,goya-g-6232-cz-okulary-przeciwsloneczne-polaryzacyjne
245445,G 7107,Peñíscola,Coast,Aviator,Unisex,Przeciwsłoneczne,goya-g-7107-z-okulary-przeciwsloneczne-polaryzacyjne-dla-kierowcow
245464,G 205,Almendra,Coast,Kocie,Damskie,Przeciwsłoneczne,goya-g-205-z-okulary-przeciwsloneczne-z-filtrem-polaryzacyjnym
245493,G 199,Bravo,Coast,Aviator,Męskie,Przeciwsłoneczne,goya-g-199-br-okulary-przeciwsloneczne-z-filtrem-polaryzacyjnym
245502,G 196 BR,Avellana,Coast,Muchy,Damskie,Przeciwsłoneczne,goya-g-196-br-okulary-przeciwsloneczne-z-filtrem-polaryzacyjnym
245531,G 195,Trigo,Coast,Muchy,Damskie,Przeciwsłoneczne,goya-g-195-cz-okulary-przeciwsloneczne-z-filtrem-polaryzacyjnym
245540,G 190 CZ,Grana,Coast,Muchy,Damskie,Przeciwsłoneczne,goya-g-190-cz-okulary-przeciwsloneczne-z-filtrem-polaryzacyjnym
245548,G 191 BR,Carmín,Coast,Muchy,Damskie,Przeciwsłoneczne,goya-g-191-br-okulary-przeciwsloneczne-z-filtrem-polaryzacyjnym
245561,G 193 CZ,Getaria,City,Prostokątne,Unisex,Przeciwsłoneczne,goya-g-193-cz-okulary-przeciwsloneczne-z-filtrem-polaryzacyjnym
245583,G 189,Noble,Drive,Sportowe,Męskie,Przeciwsłoneczne,goya-g-189-czm-okulary-przeciwsloneczne-z-filtrem-polaryzacyjnym
245591,G 188 GR,Zahara,Coast,Aviator,Unisex,Przeciwsłoneczne,goya-g-188-gr-okulary-przeciwsloneczne-z-filtrem-polaryzacyjnym
245657,G 187,Añil,Coast,Muchy,Damskie,Przeciwsłoneczne,goya-g-187-cz-okulary-przeciwsloneczne-z-filtrem-polaryzacyjnym
245673,G 186,Malaquita,Coast,Muchy,Damskie,Przeciwsłoneczne,goya-g-186-br-okulary-przeciwsloneczne-z-filtrem-polaryzacyjnym
245694,G 185,Miel,Coast,Muchy,Damskie,Przeciwsłoneczne,goya-g-185-cz-okulary-przeciwsloneczne-z-filtrem-polaryzacyjnym
245701,G 184 C,Ocre,Coast,Kocie,Damskie,Przeciwsłoneczne,goya-g-184-c-okulary-przeciwsloneczne-z-filtrem-polaryzacyjnym
245722,G 183,Brisa,Weekend,Okrągłe,Damskie,Przeciwsłoneczne,goya-g-183-zx-okulary-przeciwsloneczne-z-filtrem-polaryzacyjnym
245743,G 182,Aire,Coast,Muchy,Damskie,Przeciwsłoneczne,goya-g-182-zx-okulary-przeciwsloneczne-z-filtrem-polaryzacyjnym
245765,G 180 GR,Hidalgo,City,Prostokątne,Męskie,Przeciwsłoneczne,goya-g-180-gr-okulary-przeciwsloneczne-z-filtrem-polaryzacyjnym-kopia
245772,G 177 CZ,Corsario,Drive,Sportowe,Męskie,Przeciwsłoneczne,goya-g-177-cz-okulary-przeciwsloneczne-z-filtrem-polaryzacyjnym
245789,G 176,Timonel,Drive,Sportowe,Męskie,Przeciwsłoneczne,goya-g-176-s-okulary-przeciwsloneczne-z-filtrem-polaryzacyjnym
245801,G 175 CZ,Norte,Drive,Sportowe,Męskie,Przeciwsłoneczne,goya-g-175-cz-okulary-przeciwsloneczne-z-filtrem-polaryzacyjnym
245833,G 172,Céfiro,City,Prostokątne,Damskie,Przeciwsłoneczne,goya-g-172-br-okulary-przeciwsloneczne-z-filtrem-polaryzacyjnym
245865,G 171,Levante,Weekend,Pozostałe,Damskie,Przeciwsłoneczne,goya-g-171-zx-okulary-przeciwsloneczne-z-filtrem-polaryzacyjnym
245901,G 166 GR,Duero,City,Owalne,Męskie,Przeciwsłoneczne,goya-g-166-gr-okulary-przeciwsloneczne-z-filtrem-polaryzacyjnym
245915,G 164,Poniente,City,Prostokątne,Damskie,Przeciwsłoneczne,goya-g-164-cz-okulary-przeciwsloneczne-z-filtrem-polaryzacyjnym
253055,G 146,Mistral,Weekend,Pozostałe,Damskie,Przeciwsłoneczne,goya-okulary-przeciwsloneczne-z-filtrem-polaryzacyjnym-g-146
253071,G 148,Lucero,Weekend,Pozostałe,Damskie,Przeciwsłoneczne,goya-okulary-przeciwsloneczne-z-filtrem-polaryzacyjnym-g-148
253086,G 149,Conil,City,Owalne,Unisex,Przeciwsłoneczne,goya-okulary-przeciwsloneczne-z-filtrem-polaryzacyjnym-g-149
253100,G 150 GR C,Ámbar,City,Owalne,Damskie,Przeciwsłoneczne,goya-okulary-przeciwsloneczne-z-filtrem-polaryzacyjnym-g-150-gr-c
253109,G 151,Sirena,City,Owalne,Damskie,Przeciwsłoneczne,goya-okulary-przeciwsloneczne-z-filtrem-polaryzacyjnym-g-151
253125,G 153,Ebro,Weekend,Pozostałe,Męskie,Przeciwsłoneczne,goya-okulary-przeciwsloneczne-z-filtrem-polaryzacyjnym-g-153
253140,G 154 CZ,Perla,Weekend,Pozostałe,Damskie,Przeciwsłoneczne,goya-okulary-przeciwsloneczne-z-filtrem-polaryzacyjnym-g-154-cz
253158,G 157 BR,Tajo,Weekend,Pozostałe,Męskie,Przeciwsłoneczne,goya-okulary-przeciwsloneczne-z-filtrem-polaryzacyjnym-g-157-br
253166,G 160,Frigiliana,City,Owalne,Unisex,Przeciwsłoneczne,goya-okulary-przeciwsloneczne-z-filtrem-polaryzacyjnym-g-160
253171,G 161,Mundaka,City,Owalne,Unisex,Przeciwsłoneczne,goya-okulary-przeciwsloneczne-z-filtrem-polaryzacyjnym-g-161
253175,G 162,Tulum,City,Owalne,Unisex,Przeciwsłoneczne,goya-okulary-przeciwsloneczne-z-filtrem-polaryzacyjnym-g-162-2
253178,G 170,Marina,City,Owalne,Damskie,Przeciwsłoneczne,goya-okulary-przeciwsloneczne-z-filtrem-polaryzacyjnym-g-170
